mp-ID,Formula,SynthNN_score
mp-3333,Eu(NiGe)2,0.7574333
mp-3334,Tm2Sn2O7,0.95178396
mp-3335,Sm2Ti2O7,0.9937169
mp-3337,Ti6Si7Ni16,0.96471035
mp-3338,NaGaO2,0.80389136
mp-3344,CeAlRh,0.64416736
mp-3370,Y2Sn2O7,0.96740437
mp-3372,Rb2SO4,0.78938055
mp-3374,Nd4Au2O9,0.054393288
mp-3375,Nd4Ge3Rh4,0.7588696
mp-3378,SrHfO3,0.9873962
mp-3384,Er3Al5O12,0.9648494
mp-3397,Ba2TiO4,0.98765093
mp-3400,Lu(MnGe)6,0.8896116
mp-3402,UTeN,0.2520963
mp-3404,RbSO3,0.85813975
mp-3405,NaAl11O17,0.85431516
mp-3406,U(SiPt)2,0.8767161
mp-3408,CeAlO3,0.9452449
mp-3412,Eu(CuSi)2,0.105769016
mp-3414,AgSbF6,0.9396192
mp-3416,Na3AlF6,0.9665505
mp-3417,Ca(BO2)2,0.003462153
mp-3419,RbAuF4,0.48431334
mp-3430,Pr2Ru2O7,0.9706461
mp-3437,Ce(CoSi)2,0.7237379
mp-3446,SrTm2O4,0.80950695
mp-3453,Er(MnGe)6,0.7611729
mp-3457,ErP5O14,0.8597794
mp-3468,NaAsO2,0.38811952
mp-3470,MgSiO3,0.9779676
mp-3472,PbSO4,0.9260889
mp-3476,P2PbO6,0.9883836
mp-3488,Na2Ti3O7,0.9893083
mp-3494,CeGa3Pd2,0.7997568
mp-3499,MnSbPd2,0.2540069
mp-3501,Er(Fe2Ge)2,0.58506346
mp-3502,Zn2Te3O8,0.7931972
mp-3516,UTeO5,0.93471676
mp-3520,Y2SiO5,0.9936399
mp-3523,SrGd2O4,0.9201532
mp-3529,K3VS4,0.4347516
mp-3530,Au(OF3)2,0.2013703
mp-3531,Ca2P2O7,0.99417275
mp-3535,RbCeS2,0.7181293
mp-3538,Hg3TeO6,0.58291847
mp-3540,Li2SnO3,0.8997326
mp-3541,CeNiGe2,0.9766467
mp-3545,CeMgSi2,0.23453704
