,score
mp-6057,0.958139017
mp-6058,0.861780715
mp-6059,0.876874401
mp-6062,0.995366284
mp-6066,0.992021774
mp-6068,0.982425794
mp-6073,0.98881132
mp-6075,0.88337013
mp-6076,0.990122983
mp-6077,0.720796749
mp-6080,0.873490915
mp-6081,0.83694626
mp-6089,0.983375965
mp-6091,0.986887727
mp-6094,0.956656595
mp-6097,0.973237714
mp-6099,0.98170014
mp-6101,0.977156362
mp-6105,0.984795516
mp-6109,0.88165687
mp-6112,0.933925654
mp-6113,0.995810614
mp-6115,0.702723496
mp-6121,0.677779825
mp-6122,0.94537726
mp-6124,0.950703585
mp-6125,0.994116134
mp-6127,0.982425793
mp-6134,0.839273842
mp-6146,0.985173441
mp-6150,0.636794614
mp-6152,0.996618158
mp-6160,0.969998613
mp-6163,0.904391457
mp-6164,0.89516106
mp-6167,0.84390509
mp-6169,0.977139869
mp-6172,0.995654437
mp-6174,0.966601715
mp-6175,0.829392724
mp-6179,0.984076154
mp-6181,0.988191624
mp-6185,0.947976672
mp-6186,0.984789029
mp-6191,0.948791119
mp-6194,0.983684736
mp-6198,0.983109504
mp-6204,0.89607124
mp-6208,0.991139967
mp-6213,0.970624166
mp-6217,0.569899409
mp-6224,0.814025344
mp-6226,0.986466526
mp-6227,0.957005495
mp-6233,0.948560435
mp-6238,0.895570069
mp-6246,0.781104286
mp-6247,0.673895591
mp-6249,0.93731437
mp-6250,0.683742
mp-6252,0.992439865
mp-6255,0.963690875
mp-6257,0.995648581
mp-6258,0.948791119
mp-6268,0.984968652
mp-6270,0.906701509
mp-6274,0.989696975
mp-6281,0.948560435
mp-6289,0.987576667
mp-6290,0.960575167
mp-6294,0.923245072
mp-6296,0.982160817
mp-6297,0.991672848
mp-6299,0.996850759
mp-6300,0.979620915
mp-6301,0.721215028
mp-6305,0.833209543
mp-6310,0.993058736
mp-6316,0.971604928
mp-6318,0.995876815
mp-6319,0.975595792
mp-6326,0.955758985
mp-6327,0.850281134
mp-6330,0.600087358
mp-6331,0.966771905
mp-6333,0.963556184
mp-6340,0.995812202
mp-6345,0.724550052
mp-6358,0.994410228
mp-6361,0.992025722
mp-6368,0.941746117
mp-6388,0.788206539
mp-6389,0.974397733
mp-6391,0.824584499
mp-6394,0.994962975
mp-6397,0.742734491
mp-6404,0.934298114
mp-6414,0.782434596
mp-6416,0.959871803
mp-6419,0.975654034
mp-6424,0.872826584
mp-6425,0.996073112
mp-6426,0.76665134
mp-6434,0.973476363
mp-6442,0.956817021
mp-6443,0.846658501
mp-6446,0.994395174
mp-6449,0.935610098
mp-6453,0.941084359
mp-6455,0.851493687
mp-6456,0.993461928
mp-6462,0.982151259
mp-6465,0.992103287
mp-6467,0.948290309
mp-6468,0.876657822
mp-6473,0.957868273
mp-6475,0.996682879
mp-6479,0.584608948
mp-6480,0.776916158
mp-6481,0.805372199
mp-6485,0.944113706
mp-6486,0.989466407
mp-6488,0.983298618
mp-6491,0.980430383
mp-6495,0.682360505
mp-6496,0.976874933
mp-6500,0.994054027
mp-6501,0.680319528
mp-6507,0.96679072
mp-6509,0.893032255
mp-6511,0.882258564
mp-6520,0.841532837
mp-6524,0.995026568
mp-6525,0.556272386
mp-6526,0.992120297
mp-6527,0.959290468
mp-6528,0.506673787
mp-6531,0.681532302
mp-6535,0.96834102
mp-6537,0.947296807
mp-6539,0.9942199
mp-6543,1.134275613
mp-6551,0.996258875
mp-6557,0.969619312
mp-6563,0.995440114
mp-6564,0.962114964
mp-6565,0.986728864
mp-6566,0.995762735
mp-6573,0.754854418
mp-6575,0.915009577
mp-6578,0.957053707
mp-6585,0.920213344
mp-6586,0.911039933
mp-6591,0.811493689
mp-6592,0.982425793
mp-6596,0.985487796
mp-6600,0.975295237
mp-6610,0.947746914
mp-6615,0.850924064
mp-6622,0.716652123
mp-6623,0.97166272
mp-6637,0.923245072
mp-6641,0.495621658
mp-6645,0.994579788
mp-6648,0.980832553
mp-6651,0.994355606
mp-6652,0.937897802
mp-6655,0.988221633
mp-6661,0.936964947
mp-6663,0.968146069
mp-6668,0.995547448
mp-6669,0.981759856
mp-6671,0.930967984
mp-6672,0.780249415
mp-6675,0.945538497
mp-6676,0.996618158
mp-6678,0.76153182
mp-6684,0.980338394
