,MP_index,Cluster_ID,cluster_size,sublattice_element,dbcv_cluster,probabilities
24272,mp-776642,-1,24875,Li,0.8468198764613707,0.0
24273,mp-776644,-1,24875,O,0.8468198764613707,0.0
24274,mp-776646,-1,24875,O,0.8468198764613707,0.0
24275,mp-776654,47,29,V,0.5161707852419523,0.7676050981523359
24276,mp-776655,-1,24875,Ti,0.8468198764613707,0.0
24277,mp-776659,-1,24875,V,0.8468198764613707,0.0
24278,mp-776662,-1,24875,Li,0.8468198764613707,0.0
24279,mp-776669,-1,24875,Na,0.8468198764613707,0.0
24280,mp-776680,162,141,O,0.13336993423093385,0.7581462351663336
24281,mp-776683,-1,24875,Li,0.8468198764613707,0.0
24282,mp-776684,-1,24875,F,0.8468198764613707,0.0
24283,mp-776686,-1,24875,O,0.8468198764613707,0.0
24284,mp-776687,-1,24875,F,0.8468198764613707,0.0
24285,mp-776688,-1,24875,V,0.8468198764613707,0.0
24286,mp-776689,-1,24875,F,0.8468198764613707,0.0
24287,mp-776691,-1,24875,V,0.8468198764613707,0.0
24288,mp-776692,-1,24875,F,0.8468198764613707,0.0
24289,mp-776697,-1,24875,O,0.8468198764613707,0.0
24290,mp-776726,1,28,V,0.2862617283027239,1.0
24291,mp-776727,-1,24875,Fe,0.8468198764613707,0.0
24292,mp-776730,-1,24875,F,0.8468198764613707,0.0
24293,mp-776734,-1,24875,F,0.8468198764613707,0.0
24294,mp-776740,151,33,O,0.6198435020662141,0.893069161794374
24295,mp-776741,-1,24875,O,0.8468198764613707,0.0
24296,mp-776747,25,119,V,0.8100742310566592,0.8897466504804453
24297,mp-776748,-1,24875,O,0.8468198764613707,0.0
24298,mp-776749,26,66,Li,0.7290418659203914,0.6092880056246268
24299,mp-776752,-1,24875,Li,0.8468198764613707,0.0
24300,mp-776753,102,63,Fe,0.30374029304686306,0.07850395732365284
24301,mp-776754,-1,24875,Fe,0.8468198764613707,0.0
24302,mp-776756,-1,24875,O,0.8468198764613707,0.0
24303,mp-776757,-1,24875,O,0.8468198764613707,0.0
24304,mp-776758,-1,24875,Fe,0.8468198764613707,0.0
24305,mp-776759,162,141,O,0.13336993423093385,0.7718804281116642
24306,mp-776760,25,119,Ti,0.8100742310566592,0.33490542760941727
24307,mp-776761,161,33,O,0.2004242368703885,1.0
24308,mp-776762,-1,24875,V,0.8468198764613707,0.0
24309,mp-776763,-1,24875,O,0.8468198764613707,0.0
24310,mp-776765,25,119,V,0.8100742310566592,0.3062470697667261
24311,mp-776767,-1,24875,Li,0.8468198764613707,0.0
24312,mp-776768,26,66,Li,0.7290418659203914,0.8882558229563298
24313,mp-776770,-1,24875,F,0.8468198764613707,0.0
24314,mp-776772,-1,24875,Ti,0.8468198764613707,0.0
24315,mp-776779,-1,24875,O,0.8468198764613707,0.0
24316,mp-776780,8,113,Ti,0.5414744247704544,0.8032449599918247
24317,mp-776782,-1,24875,I,0.8468198764613707,0.0
24318,mp-776806,26,66,Li,0.7290418659203914,1.0
24319,mp-776816,-1,24875,F,0.8468198764613707,0.0
24320,mp-776825,-1,24875,F,0.8468198764613707,0.0
24321,mp-776849,8,113,V,0.5414744247704544,0.26409726203222517
24322,mp-776860,8,113,Co,0.5414744247704544,1.0
24323,mp-776870,26,66,Li,0.7290418659203914,0.9502190605678803
24324,mp-776880,-1,24875,Li,0.8468198764613707,0.0
24325,mp-776890,-1,24875,O,0.8468198764613707,0.0
24326,mp-776896,-1,24875,O,0.8468198764613707,0.0
24327,mp-776904,-1,24875,Fe,0.8468198764613707,0.0
24328,mp-776909,154,110,O,0.16856183424040494,0.35207414405061566
